name,extID,minswitches,minduration
MALSFELD-BEISEFOERTH (Germany),008005408,1,3.6333333333333333
MUENCHEN-KARLSFELD (Germany),008020467,2,4.35
BAD HERSFELD (Germany),008005648,1,2.9166666666666665
WALSLEBEN (Germany),008027233,0,1.3
EILSLEBEN(B MAGDEBURG) (Germany),008024034,1,2.65
ASCHERSLEBEN (Germany),008024170,1,2.6
WALSCHLEBEN (Germany),008016437,1,2.1666666666666665
AMMENSLEBEN GROSS (Germany),008024044,1,2.55
ESSLEBEN (Germany),008022475,1,3.8333333333333335
GIERSLEBEN (Germany),008024180,1,2.466666666666667
GATERSLEBEN (Germany),008024166,1,2.5
WEFENSLEBEN (Germany),008024035,1,2.5833333333333335
ALTDORF(B NUERNBERG) (Germany),008022340,1,3.3
ALTDORF WEST (Germany),008022914,1,3.2666666666666666
ALTDORF-LUDERSHEIM (Germany),008022339,1,3.2333333333333334
ALTDOEBERN (Germany),008004218,0,1.55
ALTHEGNENBERG (Germany),008002145,1,5.333333333333333
ALTENA(WESTF) (Germany),008008286,1,4.516666666666667
ALTENAHR (Germany),008025022,2,6.766666666666667
ALTENAU(BAY) (Germany),008020529,3,5.95
ALTENAHR-KREUZBERG (Germany),008025021,2,6.816666666666666
ALTENBEKEN (Germany),008013318,1,4.016666666666667
ALTENBURG (Germany),008023563,1,2.3
ALTENBACH (Germany),008023479,2,1.9666666666666666
ALTENGLAN (Germany),008019661,2,6.816666666666666
ALTENERDING (Germany),008020077,2,5.066666666666666
ALTENBERG(ERZGEB) (Germany),008006044,1,3.2666666666666666
ALTENBAMBERG (Germany),008019254,2,5.466666666666667
FELSBERG-ALTENBRUNSLAR (Germany),008005372,1,3.6333333333333333
LUTHERSTADT WITTENBERG ALTSTADT (Germany),008023253,1,Inf
LEHNDORF(ALTENBURG) (Germany),008006693,2,2.466666666666667
BRANDENBURG ALTSTADT (Germany),008024290,1,1.0833333333333333
ALTENKIRCHEN(WESTERWALD) (Germany),008019528,2,6.166666666666667
"BREITSCHEIDT(ALTENKIRCHEN, WW) (Germany)",008019531,2,5.916666666666667
